Data,Dia,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
17/01/2021,1,0,1,41,2,81,37169,5,2,39,71,55,7,4,24,2,17,18,12,50,50,5,0,56,25,2,264,2
18/01/2021,2,1,7,7,3,92,118,8,101,131,13,67,13,11,35,21,34,15,30,130,2,4,5,206,11,8,13,11
19/01/2021,3,42,484,1771,270,8183,4289,2681,581,204,818,4961,4324,266,3652,2483,3056,947,1996,3143,112,231,8,1773,2755,107,10001,8
20/01/2021,4,1021,2062,8449,1707,29414,10365,5888,5692,16416,6664,43331,6788,1755,10877,11757,11294,4673,25455,51594,9238,1348,7,3043,13846,4138,3208,130
21/01/2021,5,1605,3967,5748,1305,22785,9851,4226,6617,14281,11014,51545,6868,7017,9073,9558,14205,4796,23007,3023,9183,327,324,29727,11897,4588,9758,768
22/01/2021,6,1107,5586,6443,943,14169,8128,3423,51,8499,9726,29715,6452,8907,8198,3505,10944,3387,1354,25885,5841,2143,1408,22229,6901,2999,145573,2158
23/01/2021,7,173,2005,6254,107,4687,2795,15,1871,1267,2916,3598,2829,3552,2431,443,2672,239,2507,5852,223,848,1697,2703,964,195,32684,475
24/01/2021,8,98,164,3689,560,36,1815,2,585,78,948,945,2717,1184,729,51,1331,131,970,1834,565,436,1152,474,249,9,10309,42
25/01/2021,9,887,4495,8919,138,15395,7889,3053,4575,5087,8712,17124,4645,3391,4311,3806,8241,3032,17198,17175,3118,1193,313,13904,528,3035,58766,162
26/01/2021,10,117,4334,6297,831,25308,7277,5959,8292,8562,913,12789,8087,2618,4044,7078,8668,4666,18952,22891,3563,166,1602,19769,4394,3016,60192,135
27/01/2021,11,1248,3968,8045,684,21494,17007,7721,9283,13308,7419,11652,6823,4138,7038,6062,12769,6301,16454,33529,5614,1864,1606,19843,4481,2337,77433,1451
28/01/2021,12,102,5939,6185,739,18298,18632,64,8107,11848,5839,8388,6204,6426,7323,10229,21316,6175,15379,29102,8324,1828,1236,19375,6771,159,107827,1605
29/01/2021,13,1703,3382,9243,917,18599,1363,7033,6791,10571,5678,743,5471,5656,6876,6074,19083,4618,14249,21683,766,1803,1182,20624,9306,135,90541,1342
30/01/2021,14,659,1009,7977,1112,8462,3487,100,19,1868,2156,507,2477,2312,996,440,4925,266,4379,2571,74,1293,116,3846,1263,25,20821,56
31/01/2021,15,143,511,7987,2,5258,1887,25,12,2943,96,875,771,1522,438,11,2316,13,643,230,6,363,413,100,195,6,3935,26
01/02/2021,16,861,2586,12439,396,16259,10733,14141,4587,6706,5581,22083,4297,429,5645,57,1371,3358,7944,15425,5121,142,211,12354,5343,1163,56656,1079
02/02/2021,17,501,3342,15765,867,23021,13126,17254,4788,619,5272,38742,3979,5066,488,4367,12885,2355,7995,17127,3701,2133,859,7337,5077,1827,66854,1863
03/02/2021,18,790,5039,15767,115,18155,11445,8026,4158,7428,6054,405,4353,4351,9715,3189,13633,234,8572,18995,2747,2504,837,13729,4628,1739,86812,1748
