Data,Dia,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
17/01/2021,1,0,1,41,2,81,37169,5,2,39,71,55,7,4,24,2,17,18,12,50,50,5,0,56,25,2,264,2
18/01/2021,2,1,8,48,5,173,37287,13,103,170,84,122,20,15,59,23,51,33,42,180,52,9,5,262,36,10,277,13
19/01/2021,3,43,492,1819,275,8356,41576,2694,684,374,902,5083,4344,281,3711,2506,3107,980,2038,3323,164,240,13,2035,2791,117,10278,21
20/01/2021,4,1064,2554,10268,1982,37770,51941,8582,6376,16790,7566,48414,11132,2036,14588,14263,14401,5653,27493,54917,9402,1588,20,5078,16637,4255,13486,151
21/01/2021,5,2669,6521,16016,3287,60555,61792,12808,12993,31071,18580,99959,18000,9053,23661,23821,28606,10449,50500,57940,18585,1915,344,34805,28534,8843,23244,919
22/01/2021,6,3776,12107,22459,4230,74724,69920,16231,13044,39570,28306,129674,24452,17960,31859,27326,39550,13836,51854,83825,24426,4058,1752,57034,35435,11842,168817,3077
23/01/2021,7,3949,14112,28713,4337,79411,72715,16246,14915,40837,31222,133272,27281,21512,34290,27769,42222,14075,54361,89677,24649,4906,3449,59737,36399,12037,201501,3552
24/01/2021,8,4047,14276,32402,4897,79447,74530,16248,15500,40915,32170,134217,29998,22696,35019,27820,43553,14206,55331,91511,25214,5342,4601,60211,36648,12046,211810,3594
25/01/2021,9,4934,18771,41321,5035,94842,82419,19301,20075,46002,40882,151341,34643,26087,39330,31626,51794,17238,72529,108686,28332,6535,4914,74115,37176,15081,270576,3756
26/01/2021,10,5051,23105,47618,5866,120150,89696,25260,28367,54564,41795,164130,42730,28705,43374,38704,60462,21904,91481,131577,31895,6701,6516,93884,41570,18097,330768,3891
27/01/2021,11,6299,27073,55663,6550,141644,106703,32981,37650,67872,49214,175782,49553,32843,50412,44766,73231,28205,107935,165106,37509,8565,8122,113727,46051,20434,408201,5342
28/01/2021,12,6401,33012,61848,7289,159942,125335,33045,45757,79720,55053,184170,55757,39269,57735,54995,94547,34380,123314,194208,45833,10393,9358,133102,52822,20593,516028,6947
29/01/2021,13,8104,36394,71091,8206,178541,126698,40078,52548,90291,60731,184913,61228,44925,64611,61069,113630,38998,137563,215891,46599,12196,10540,153726,62128,20728,606569,8289
30/01/2021,14,8763,37403,79068,9318,187003,130185,40178,52567,92159,62887,185420,63705,47237,65607,61509,118555,39264,141942,218462,46673,13489,10656,157572,63391,20753,627390,8345
31/01/2021,15,8906,37914,87055,9320,192261,132072,40203,52579,95102,62983,186295,64476,48759,66045,61520,120871,39277,142585,218692,46679,13852,11069,157672,63586,20759,631325,8371
01/02/2021,16,9767,40500,99494,9716,208520,142805,54344,57166,101808,68564,208378,68773,49188,71690,61577,122242,42635,150529,234117,51800,13994,11280,170026,68929,21922,687981,9450
02/02/2021,17,10268,43842,115259,10583,231541,155931,71598,61954,102427,73836,247120,72752,54254,72178,65944,135127,44990,158524,251244,55501,16127,12139,177363,74006,23749,754835,11313
03/02/2021,18,11058,48881,131026,10698,249696,167376,79624,66112,109855,79890,247525,77105,58605,81893,69133,148760,45224,167096,270239,58248,18631,12976,191092,78634,25488,841647,13061
04/02/2021,19,11603,53533,132048,11421,267000,179027,85299,70464,122780,84612,296117,80939,58610,89701,72238,161082,47032,174509,290117,59559,22273,12988,192629,82946,27003,965473,13063
05/02/2021,20,12125,56497,141174,12436,285329,189660,89705,76149,130664,88554,300326,80943,63581,96798,74352,171854,48481,182025,314244,61665,24916,14225,193906,83489,28115,1077182,14994
06/02/2021,21,12316,56631,144666,12626,295280,196145,89707,76278,132286,90092,305511,82671,65227,99431,75251,172032,48510,182268,318841,61715,25186,15268,201135,84477,30862,1113126,15574
07/02/2021,22,12388,56666,145242,12649,296857,202313,89711,76922,134373,90317,307414,82819,66038,99547,75360,172562,48514,182273,318916,61731,25217,16082,201529,85178,30922,1123314,15801
08/02/2021,23,13339,58934,163650,12826,299159,211178,92215,77261,137496,94362,344888,87100,68330,102860,77132,181886,49741,187195,339488,62567,26086,16470,211583,89341,31678,1236489,17327
09/02/2021,24,13814,61636,183497,13228,301822,220394,97840,82132,141305,94854,381533,94308,70788,103166,81929,194549,52828,197787,362149,64000,27831,18389,229521,94749,32976,1322696,18689
10/02/2021,25,14598,65393,197146,14084,320567,231706,103927,87325,154730,103661,381872,104165,74894,103975,89791,211123,56181,199038,391670,70086,29658,20481,271915,106277,39851,1401235,19942
11/02/2021,26,15173,70997,206433,15292,338431,246894,109134,91458,166735,116036,419943,115778,80503,114124,89870,229684,56633,210600,425754,78664,31839,20689,316312,121742,48055,1550290,22223
12/02/2021,27,15916,77311,214978,16020,339727,247031,113258,91845,174524,117197,465055,127074,88012,115033,96959,243709,61178,228446,459340,85102,34543,20914,354854,135981,53861,1763443,26351
13/02/2021,28,16228,78763,219566,17751,340760,258360,113334,93060,175570,120419,486868,130060,88588,115339,97391,246766,61460,234910,466372,85285,35166,23083,363708,138789,55278,1805034,27494
14/02/2021,29,16396,78930,219723,17770,340825,269063,113371,93075,175689,120646,490543,130161,90821,116615,97636,250408,61496,235264,466992,85314,35218,23809,364225,140155,55315,1820306,27497
15/02/2021,30,16891,79550,227204,18502,350010,270654,113373,93432,182931,131572,523312,132688,96177,124498,100489,262409,64379,236897,489707,87345,36963,24245,371894,141090,57887,1964039,29949
16/02/2021,31,17824,80269,233348,19191,363542,288078,113387,93955,188560,139649,550669,134525,100655,130035,107082,273204,66810,248138,535359,89730,37820,24414,384742,150719,59606,2080348,30083
17/02/2021,32,19605,80372,234251,21288,384989,307029,115066,96584,202653,147993,579515,138230,105182,138942,108095,284530,70936,270535,558584,94811,40949,25683,417709,163066,61672,2185811,32362
18/02/2021,33,21728,88010,241789,23722,411334,325936,120905,105695,217057,156832,612626,143732,109768,148445,114357,299877,77010,292816,592860,103066,44827,27376,455948,172954,66820,2292297,37029
19/02/2021,34,22990,93891,248202,25589,430840,340208,126214,106740,218180,164298,637737,148238,113159,156951,119398,312093,80858,312103,616474,108509,47612,27571,458816,179755,69752,2369279,37426
20/02/2021,35,23629,94094,251940,26179,434218,347665,126237,108791,219189,165756,640361,149672,115263,158852,120023,314385,80996,314231,619333,108687,48479,29184,464439,180932,69968,2380268,38889
21/02/2021,36,23990,94158,252603,26244,434514,351950,126263,108878,219453,166275,640558,149691,115738,159548,120123,316728,81008,314291,620398,108715,48944,29706,465114,181023,69976,2381907,38912
22/02/2021,37,25142,99332,257977,27400,459460,362906,126769,116787,228845,171732,660202,152598,115963,164397,125215,327695,83815,325892,638511,113982,51926,29914,481703,185227,71833,2386764,41990
23/02/2021,38,25930,99785,263518,28161,478432,372598,131784,125328,235937,177337,675005,156291,116201,171431,129893,338839,86279,336299,659600,117847,54787,31261,496967,189344,73649,2427640,44311
24/02/2021,39,26686,103260,268676,28833,488424,380417,136915,133960,245003,181638,688368,159336,118435,178878,134521,347670,88405,344333,678103,120876,57830,32354,507433,192985,75596,2462867,47007
25/02/2021,40,28861,107168,272801,29804,505189,392393,141826,140874,251224,181699,702130,161699,120741,185673,138230,358277,90512,350759,711780,123575,59627,33513,517590,196943,76698,2494561,48968
26/02/2021,41,32518,110702,280863,30769,532771,410544,156159,140949,269289,187535,720978,164171,122873,186236,140809,374741,93339,363977,748767,126128,60672,34730,519837,207470,77697,2544658,50657
27/02/2021,42,33764,110737,286939,30869,548888,418425,156172,143830,277823,191331,728039,164648,123165,188492,143208,375404,93557,371764,779886,126356,61057,35824,536373,208611,77784,2646574,51452
28/02/2021,43,34129,110748,288061,30875,557472,418932,156187,143964,281454,192526,731380,165603,123428,189659,144266,380766,94583,373731,780166,126417,61302,36526,539514,211345,77790,2665415,51472
01/03/2021,44,35776,115965,300697,31258,583345,444004,168874,150380,296951,200257,752993,170262,125019,196461,151149,398201,94924,396147,817054,133123,62315,36687,567728,224643,78664,2906001,52463
02/03/2021,45,38305,121893,316125,31697,612671,465831,175738,160881,310809,212140,781641,176767,127982,198153,162527,419230,99749,421632,847053,141195,64209,38454,601930,239209,86358,3111316,54716
