Município,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Acrelândia,AC,Norte,FIOCRUZ/ASTRAZENECA,4180,3588,592
Acrelândia,AC,Norte,BUTANTAN/SINOVAC,1362,765,597
Acrelândia,AC,Norte,PFIZER/BIONTECH,569,568,1
Acrelândia,AC,Norte,JANSSEN,11,0,0
Assis Brasil,AC,Norte,BUTANTAN/SINOVAC,2594,1544,1050
Assis Brasil,AC,Norte,FIOCRUZ/ASTRAZENECA,1856,1649,207
Assis Brasil,AC,Norte,JANSSEN,38,0,0
Brasiléia,AC,Norte,FIOCRUZ/ASTRAZENECA,5569,4885,684
Brasiléia,AC,Norte,BUTANTAN/SINOVAC,3994,2047,1947
Brasiléia,AC,Norte,PFIZER/BIONTECH,991,991,0
Bujari,AC,Norte,FIOCRUZ/ASTRAZENECA,3512,2732,780
Bujari,AC,Norte,BUTANTAN/SINOVAC,1095,652,443
Bujari,AC,Norte,PFIZER/BIONTECH,468,466,2
Bujari,AC,Norte,JANSSEN,54,0,0
Capixaba,AC,Norte,FIOCRUZ/ASTRAZENECA,2356,2092,264
Capixaba,AC,Norte,BUTANTAN/SINOVAC,1744,923,821
Capixaba,AC,Norte,JANSSEN,35,0,0
Cruzeiro Do Sul,AC,Norte,FIOCRUZ/ASTRAZENECA,29535,25121,4414
Cruzeiro Do Sul,AC,Norte,BUTANTAN/SINOVAC,12744,7299,5445
Cruzeiro Do Sul,AC,Norte,PFIZER/BIONTECH,4582,4580,2
Cruzeiro Do Sul,AC,Norte,JANSSEN,156,0,0
Epitaciolândia,AC,Norte,FIOCRUZ/ASTRAZENECA,4355,3960,395
Epitaciolândia,AC,Norte,BUTANTAN/SINOVAC,2619,1500,1119
Epitaciolândia,AC,Norte,PFIZER/BIONTECH,172,171,1
Epitaciolândia,AC,Norte,JANSSEN,100,0,0
Feijó,AC,Norte,FIOCRUZ/ASTRAZENECA,6248,5145,1103
