Estados,r,B0,B1,Erro Padrão,P-value,Total Vacina (Pop*2),Total Vacinação,y (total de dias),Término em Anos
AC,"0,9748854726","74,87317783","0,0002877676803","4,436977993",0,1788940,348659,"594,11","1,63"
AL,"0,9979781114","50,49252276","0,00009232376818","1,26627428",0,6703086,1345475,"670,61","1,84"
AM,"0,9843027302","56,26631024","0,00006844474584","3,51616979",0,8415428,1714709,"635,77","1,74"
AP,"0,9925474655","31,13942204","0,0005688846813","2,427784577",0,1723546,240575,"1014,07","2,78"
BA,"0,9977421877","14,77370932","0,00002747998188","1,338034935",0,29861268,5667717,"836,7","2,29"
CE,"0,9972395767","1,974555125","0,00005934301368","1,479301641","0,1230494002",18374206,2866740,"1093,83",3
DF,"0,9905833777","33,57358789","0,0001127930435","2,727668411",0,6110298,1233382,"725,5","1,99"
ES,"0,9974660372","61,78853694","0,00005339551679","1,41740393",0,8128104,2098632,"497,21","1,36"
GO,"0,9971701859","43,08319704","0,00004486224407","1,497753349",0,14227080,2848102,"682,84","1,87"
MA,"0,9897552397","62,69639148","0,00003783705449","2,844490858",0,14229196,2847950,"603,93","1,65"
MG,"0,9980517431","29,62611257","0,00001754161603","1,243026216",0,42585332,8050473,"777,88","2,13"
MS,"0,9971270428","50,81602172","0,00007857423203","1,509111168",0,5618788,1578547,"493,82","1,35"
MT,"0,9962732591","48,7572341","0,00009742596988","1,718416385",0,7052440,1285431,"737,57","2,02"
PA,"0,9934168769","58,01838882","0,00004286666325","2,282279695",0,17381490,2659477,"805,39","2,21"
PB,"0,9975607654","24,3831106","0,0000904401017","1,390690848",0,8078554,1630971,"756,4","2,07"
PE,"0,9975392425","29,46284626","0,00004232965257","1,396805332",0,19233242,3325027,845,"2,32"
PI,"0,9954701333","40,58282551","0,00009984661188","1,894170818",0,6562960,1331045,"697,77","1,91"
PR,"0,9913472474","50,08864231","0,00002325096174","2,615197265",0,23033680,5285885,"588,26","1,61"
RJ,"0,9966563012","12,47061129","0,00002110469228","1,627867461",0,34732378,7547178,"747,11","2,05"
RN,"0,9970069269","43,51304177","0,00008361069198","1,540289162",0,7068330,1544849,"636,04","1,74"
RO,"0,9926851491","63,5574388","0,0001726966539","2,405336794",0,3592920,638839,"686,45","1,88"
RR,"0,9738381195","49,24296494","0,0006456066346","4,52734986",0,1262362,197437,"868,76","2,38"
RS,"0,9982117665","45,24838596","0,00001990471983","1,19093123",0,22845946,6429549,"501,18","1,37"
SC,"0,9967026864","44,97420232","0,00004456560168","1,616555583",0,14505004,2866649,"693,01","1,9"
SE,"0,9972526432","31,48681249","0,0001604811785","1,475801146",0,4637644,872768,"777,22","2,13"
SP,"0,9884452614","54,28174146","0,000005361700315","3,01988702",0,92578666,22610502,"553,68","1,52"
TO,"0,9855208965","54,34681373","0,0002081846051","3,378017383",0,3180496,590015,"719,86","1,97"
