UF,Data,Quantidade
AC,18/01/2021,1
AC,19/01/2021,42
AC,20/01/2021,1021
AC,21/01/2021,1605
AC,22/01/2021,1107
AC,23/01/2021,173
AC,24/01/2021,98
AC,25/01/2021,887
AC,26/01/2021,117
AC,27/01/2021,1248
AC,28/01/2021,102
AC,29/01/2021,1703
AC,30/01/2021,659
AC,31/01/2021,143
AC,01/02/2021,861
AC,02/02/2021,501
AC,03/02/2021,790
AC,04/02/2021,545
AC,05/02/2021,522
AC,06/02/2021,191
AC,07/02/2021,72
AC,08/02/2021,951
AC,09/02/2021,475
AC,10/02/2021,784
AC,11/02/2021,575
AC,12/02/2021,743
AC,13/02/2021,312
AC,14/02/2021,168
AC,15/02/2021,495
AC,16/02/2021,933
AC,17/02/2021,1781
AC,18/02/2021,2123
AC,19/02/2021,1262
AC,20/02/2021,639
AC,21/02/2021,361
AC,22/02/2021,1152
AC,23/02/2021,788
AC,24/02/2021,756
AC,25/02/2021,2175
AC,26/02/2021,3657
AC,27/02/2021,1246
AC,28/02/2021,365
AC,01/03/2021,1647
AC,02/03/2021,2529
AC,03/03/2021,1961
AC,04/03/2021,2436
AC,05/03/2021,1758
AC,06/03/2021,216
AC,07/03/2021,78
AC,08/03/2021,256
AC,09/03/2021,1073
AC,10/03/2021,166
AC,11/03/2021,2195
AC,12/03/2021,1062
AC,13/03/2021,168
AC,14/03/2021,52
AC,15/03/2021,804
AC,16/03/2021,1297
AC,17/03/2021,122
AC,18/03/2021,2008
AC,19/03/2021,848
AC,20/03/2021,83
AC,21/03/2021,67
AC,22/03/2021,1154
AC,23/03/2021,1024
AC,24/03/2021,2102
AC,25/03/2021,4305
AC,26/03/2021,3328
AC,27/03/2021,423
AC,28/03/2021,1235
AC,29/03/2021,3152
AC,30/03/2021,4282
AC,31/03/2021,3945
AC,01/04/2021,3609
AC,02/04/2021,433
AC,03/04/2021,136
AC,04/04/2021,313
AC,05/04/2021,2393
AC,06/04/2021,179
AC,07/04/2021,2485
AC,08/04/2021,2024
AC,09/04/2021,1808
AC,10/04/2021,3349
AC,11/04/2021,351
AC,12/04/2021,1809
AC,13/04/2021,1292
AC,14/04/2021,2456
AC,15/04/2021,1469
AC,16/04/2021,1332
AC,17/04/2021,3085
AC,18/04/2021,579
AC,19/04/2021,1347
AC,20/04/2021,1397
AC,21/04/2021,693
AC,22/04/2021,157
AC,23/04/2021,1286
AC,24/04/2021,753
AC,25/04/2021,413
AC,26/04/2021,1839
AC,27/04/2021,2569
AC,28/04/2021,3593
AC,29/04/2021,3142
AC,30/04/2021,1389
AC,01/05/2021,706
AC,02/05/2021,313
AC,03/05/2021,2958
AC,04/05/2021,2526
AC,05/05/2021,3089
AC,06/05/2021,2484
AC,07/05/2021,3068
AC,08/05/2021,1908
AC,09/05/2021,144
AC,10/05/2021,3723
AC,11/05/2021,3608
AC,12/05/2021,3533
AC,13/05/2021,3595
AC,14/05/2021,2602
AC,15/05/2021,3086
AC,16/05/2021,322
AC,17/05/2021,3061
AC,18/05/2021,2774
AC,19/05/2021,2515
AC,20/05/2021,3163
AC,21/05/2021,1894
AC,22/05/2021,584
AC,23/05/2021,68
AC,24/05/2021,1551
AC,25/05/2021,2371
AC,26/05/2021,2911
AC,27/05/2021,2703
AC,28/05/2021,1908
AC,29/05/2021,2043
AC,30/05/2021,75
AC,31/05/2021,2677
AC,01/06/2021,3279
AC,02/06/2021,472
AC,03/06/2021,1233
AC,04/06/2021,2471
AC,05/06/2021,799
AC,06/06/2021,90
AC,07/06/2021,3693
AC,08/06/2021,3807
AC,09/06/2021,4401
AC,10/06/2021,4349
AC,11/06/2021,3563
AC,12/06/2021,2151
AC,13/06/2021,135
AC,14/06/2021,5351
AC,15/06/2021,4281
AC,16/06/2021,9032
AC,17/06/2021,9061
AC,18/06/2021,13868
AC,19/06/2021,8734
AC,20/06/2021,3765
AC,21/06/2021,7381
AC,22/06/2021,6836
AC,23/06/2021,736
AC,24/06/2021,228
AC,25/06/2021,787
AL,17/01/2021,1
AL,18/01/2021,7
AL,19/01/2021,484
AL,20/01/2021,2062
AL,21/01/2021,3967
AL,22/01/2021,5586
AL,23/01/2021,2005
AL,24/01/2021,164
AL,25/01/2021,4495
AL,26/01/2021,4334
AL,27/01/2021,3968
AL,28/01/2021,5939
AL,29/01/2021,3382
AL,30/01/2021,1009
AL,31/01/2021,511
AL,01/02/2021,2586
AL,02/02/2021,3342
AL,03/02/2021,5039
AL,04/02/2021,4652
AL,05/02/2021,2964
AL,06/02/2021,134
AL,07/02/2021,35
AL,08/02/2021,2268
AL,09/02/2021,2702
AL,10/02/2021,3757
AL,11/02/2021,5604
AL,12/02/2021,6314
AL,13/02/2021,1452
AL,14/02/2021,167
AL,15/02/2021,620
AL,16/02/2021,719
AL,17/02/2021,103
AL,18/02/2021,7638
AL,19/02/2021,5881
AL,20/02/2021,203
AL,21/02/2021,64
AL,22/02/2021,5174
AL,23/02/2021,453
AL,24/02/2021,3475
AL,25/02/2021,3908
AL,26/02/2021,3534
AL,27/02/2021,35
AL,28/02/2021,11
AL,01/03/2021,5217
AL,02/03/2021,5928
AL,03/03/2021,5929
AL,04/03/2021,5766
AL,05/03/2021,4923
AL,06/03/2021,552
AL,07/03/2021,22
AL,08/03/2021,4149
AL,09/03/2021,4318
AL,10/03/2021,4446
AL,11/03/2021,664
AL,12/03/2021,581
AL,13/03/2021,1931
AL,14/03/2021,555
AL,15/03/2021,4207
AL,16/03/2021,5595
AL,17/03/2021,7482
AL,18/03/2021,8392
AL,19/03/2021,10944
AL,20/03/2021,5736
AL,21/03/2021,1953
AL,22/03/2021,11082
AL,23/03/2021,1589
AL,24/03/2021,1977
AL,25/03/2021,19306
AL,26/03/2021,16096
AL,27/03/2021,11554
AL,28/03/2021,5623
AL,29/03/2021,14728
AL,30/03/2021,18065
AL,31/03/2021,15861
AL,01/04/2021,11431
AL,02/04/2021,3977
AL,03/04/2021,16035
AL,04/04/2021,5371
AL,05/04/2021,18998
AL,06/04/2021,19176
AL,07/04/2021,20681
AL,08/04/2021,14284
AL,09/04/2021,13822
AL,10/04/2021,11406
AL,11/04/2021,6151
AL,12/04/2021,14064
AL,13/04/2021,20509
AL,14/04/2021,19035
AL,15/04/2021,13
AL,16/04/2021,9737
AL,17/04/2021,5464
AL,18/04/2021,1848
AL,19/04/2021,9421
AL,20/04/2021,12484
AL,21/04/2021,6939
AL,22/04/2021,13057
AL,23/04/2021,9122
AL,24/04/2021,9192
AL,25/04/2021,2399
AL,26/04/2021,4825
AL,27/04/2021,6054
AL,28/04/2021,63
AL,29/04/2021,6462
AL,30/04/2021,4578
AL,01/05/2021,506
AL,02/05/2021,4382
AL,03/05/2021,7095
AL,04/05/2021,8213
AL,05/05/2021,11374
AL,06/05/2021,12053
AL,07/05/2021,11461
AL,08/05/2021,851
AL,09/05/2021,4147
AL,10/05/2021,10064
AL,11/05/2021,13575
AL,12/05/2021,14803
AL,13/05/2021,12775
AL,14/05/2021,12063
AL,15/05/2021,10242
AL,16/05/2021,6173
AL,17/05/2021,13144
AL,18/05/2021,17319
AL,19/05/2021,1759
AL,20/05/2021,1763
AL,21/05/2021,16939
AL,22/05/2021,8989
AL,23/05/2021,4375
AL,24/05/2021,13951
AL,25/05/2021,19184
AL,26/05/2021,17871
AL,27/05/2021,14203
AL,28/05/2021,14497
AL,29/05/2021,9558
AL,30/05/2021,4566
AL,31/05/2021,1012
AL,01/06/2021,11782
AL,02/06/2021,13822
AL,03/06/2021,6779
AL,04/06/2021,12812
AL,05/06/2021,11985
AL,06/06/2021,1993
