Município,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Abadia De Goiás,GO,Centro-Oeste,BUTANTAN/SINOVAC,2713,1434,1279
Abadia De Goiás,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,2376,2269,107
Abadia De Goiás,GO,Centro-Oeste,PFIZER/BIONTECH,176,176,0
Abadia Dos Dourados,MG,Sudeste,FIOCRUZ/ASTRAZENECA,2232,2112,120
Abadia Dos Dourados,MG,Sudeste,BUTANTAN/SINOVAC,1589,823,766
Abadia Dos Dourados,MG,Sudeste,PFIZER/BIONTECH,142,142,0
Abadia Dos Dourados,MG,Sudeste,JANSSEN,5,0,0
Abadiânia,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,5717,5475,242
Abadiânia,GO,Centro-Oeste,BUTANTAN/SINOVAC,3668,2111,1557
Abadiânia,GO,Centro-Oeste,PFIZER/BIONTECH,960,960,0
Abaeté,MG,Sudeste,BUTANTAN/SINOVAC,5659,2948,2711
Abaeté,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5582,5018,564
Abaeté,MG,Sudeste,PFIZER/BIONTECH,1010,1010,0
Abaeté,MG,Sudeste,JANSSEN,14,0,0
Abaetetuba,PA,Norte,FIOCRUZ/ASTRAZENECA,51877,42486,9391
Abaetetuba,PA,Norte,BUTANTAN/SINOVAC,17418,9343,8075
Abaiara,CE,Nordeste,BUTANTAN/SINOVAC,986,774,212
Abaiara,CE,Nordeste,FIOCRUZ/ASTRAZENECA,224,223,1
Abaíra,BA,Nordeste,FIOCRUZ/ASTRAZENECA,4075,3496,579
Abaíra,BA,Nordeste,BUTANTAN/SINOVAC,2952,1518,1434
Abaíra,BA,Nordeste,PFIZER/BIONTECH,181,181,0
Abaíra,BA,Nordeste,JANSSEN,15,0,0
Abaré,BA,Nordeste,BUTANTAN/SINOVAC,4984,2627,2357
Abaré,BA,Nordeste,FIOCRUZ/ASTRAZENECA,4131,3542,589
Abaré,BA,Nordeste,PFIZER/BIONTECH,690,687,3
Abatiá,PR,Sul,FIOCRUZ/ASTRAZENECA,2756,2613,143
Abatiá,PR,Sul,BUTANTAN/SINOVAC,1973,1028,945
Abatiá,PR,Sul,PFIZER/BIONTECH,153,153,0
Abatiá,PR,Sul,JANSSEN,25,0,0
Abdon Batista,SC,Sul,FIOCRUZ/ASTRAZENECA,1127,903,224
Abdon Batista,SC,Sul,BUTANTAN/SINOVAC,877,486,391
Abdon Batista,SC,Sul,PFIZER/BIONTECH,246,246,0
Abdon Batista,SC,Sul,JANSSEN,35,0,0
